Crop        ,Season                                            ,min_Rain,max_Rain,Season_num          ,Min_TempC,Max_TempC,IRRIGATIONMETHODS                                                                                                                                                                                                                                                                                       ,FertilizerAdv                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,FertilizerKgpha                                                                                                                                                                                                                                                    ,Yield                                      ,min_Yield,max_Yield,Soil_pH                              ,min_pH,max_pH,Rainfall                          ,,,Flower_Initiation                                            ,Ist_picking                                                 ,Picking_start,Growth_regulator                                                                                                                                                                                                                                                                                          ,No.of_pickings:                  ,Date_of_pickings                       ,Gap,Count
Citrus      ,                                                  ,50      ,250     ,                    ,16       ,20       ,Requires critical stage watering in the initial year.                                                                                                                                                                                                                                                   ,FYM N P2O5 K2O                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                   ,                                           ,         ,         ,5.5-7.5                              ,5.5   ,7.5   ,50-250                            ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Grapes      ,                                                  ,50      ,90      ,                    ,15       ,40       ,Use drip irrigation system.                                                                                                                                                                                                                                                                             ,Foliar spray of 0.1% Boric acid + 0.2% ZnSO4 + 1.0% Urea twice before flowering and 10 days after first spray should be done to overcome nutrient deficiency                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                   ,                                           ,         ,         ,4.0-9.5                              ,4     ,9.5   ,<90                               ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Guava       ,                                                  ,85      ,115     ,                    ,23       ,28       ,Normally irrigations is not required in guava planting.                                                                                                                                                                                                                                                 ,"FYM 50 Kg and one Kg in each of N, P and K per tree in two split doses during March and October should be applied. To increase the yield, spray Urea 1 % + Zinc sulphate 0.5% twice a year during March and October. To correct the boron deficiency (reduction in size of leaves and fruit cracking and hardening) spray 0.3% borax during flowering and fruit set stage.  "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                   ,                                           ,         ,         ,5.5-7.5                              ,5.5   ,7.5   ,100                               ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Litchi      ,                                                  ,        ,        ,                    ,21       ,38       ,"Carry about 2 to 3irrigations at the interval of 45 to 60days during winter.In case of hot summer months,irrigation should be given at 2 weeks interval."                                                                                                                                              ,"FYM: 60 kg, N: 100 g, P: 40 g and K: 400 g for 10 year old tree. Apply N in two split doses in February & April. FYM, P and K to be applied in December"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                                   ,                                           ,         ,         ,5.5-7                                ,5.5   ,7     ,                                  ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Mango       ,                                                  ,80      ,109     ,                    ,24       ,30       ,Irrigation can be carried out at an interval of 8 to 12days from fruit set to maturity to result in higher crop yield.Irrigation is not recommended for 2 to 3months prior to flowering.Use drip irrigation.                                                                                            ,"FYM: 75 kg, N: 1 kg, P: 0.8 kg and K: 3.0 kg/tree"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                                                   ,                                           ,         ,         ,5.5-7.5                              ,5.5   ,7.5   ,89-100                            ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Papaya      ,                                                  ,        ,        ,                    ,25       ,30       ,Requires to irrigate every 2 weeks in winter season and 9 to 10 days in summer.                                                                                                                                                                                                                         ,"Micronutrients spray for controlling bronzing of leaves A  combined  spray  should be  given  containing  ZnSO4,  MgSO4  and  MnSo4  @ 0.5% and CuSO4 and FeSO4 @ 0.25 % plus Teepol @ 1ml per 5 lit of solution on various stages viz., new flush, one month after, flowering and fruit set stages. Pineapple FYM 40-50 t/ha, N 16 g, P 4 g and K 12 g/plant in two equal splits at 6th and 12thmonth after planting. Apply as foliar spray 0.5% - 1.0 % sulphate of Zinc and Ferrous solutions at 15 days interval to overcome the deficiencies in the early crop phase. Sapota Manures  and  fertilizers  may  be  applied  in  September-October  at  45  cm  away from the trunk up to the leaf drip and incorporated.  Manures and Fertilizers1  year old Annual increase 6th year onwards (Kg/tree) FYM 10.000 10.000 50.000 N 0.200 0.200 1.000 P 0.200 0.200 1.000 K 0.300 0.300 1.500 Papaya ",                                                                                                                                                                                                                                                                   ,                                           ,         ,         ,6.5-7.0                              ,6.5   ,7     ,high rainfall area is not suitable,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Pineapple   ,                                                  ,76      ,100     ,                    ,15       ,32       ,"Incase of Scanty rainfall and hot weather,irrigation may be provided once in 20-25 days."                                                                                                                                                                                                              ,"FYM 40-50 t/ha, N 16 g, P 4 g and K 12 g/plant in two equal splits at 6th and 12th month after planting. Apply as foliar spray 0.5% - 1.0 % sulphate of Zinc and Ferrous solutions at 15 days interval"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                                                                                                   ,                                           ,         ,         ,5.0-6.0                              ,5     ,6     ,76-100                            ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Pomegranate ,                                                  ,50      ,80      ,                    ,25       ,35       ,Weekly irrigation n summers and that during winters at fortnightly intervals is recommended.Use drip irrigation.                                                                                                                                                                                        ,FYM NPK                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                                                                   ,                                           ,         ,         ,7.5                                  ,7.5   ,7.5   ,50-80                             ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Sapota      ,                                                  ,125     ,250     ,                    ,10       ,38       ,Irrigation is provided at an interval of 30day in winter and 15 days in summer.                                                                                                                                                                                                                         ,Sapota Manures  and  fertilizers  may  be  applied  in  September-October  at  45  cm  away from the trunk up to the leaf drip and incorporated.  Manures and Fertilizers1  year old Annual increase 6th year onwards (Kg/tree) FYM 10.000 10.000 50.000 N 0.200 0.200 1.000 P 0.200 0.200 1.000 K 0.300 0.300 1.500                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                                   ,                                           ,         ,         ,6.0-8.0                              ,6     ,8     ,125-250                           ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Apple       ,                                                  ,        ,        ,                    ,21       ,24       ,"In summer,watering should be provided at an interval of 6 to 10days while in winter it is given at an interval of 3 to 4 weeks.Atleast 8 irrigations are required during critical period April to August after fruit set."                                                                             ,"For a bearing tree apply FYM 25 Kg, N 500 g and each one Kg of P and K per bearing tree."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                                   ,                                           ,         ,         ,5.5-6.5                              ,5.5   ,6.5   ,                                  ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Turnip      ,                                                  ,        ,        ,                    ,18       ,23       ,Irrigation should be given at 8 to 10 days intervals.                                                                                                                                                                                                                                                   ,"Basal: FYM: 30 t/ha, N: 90 kg, P: 125 kg
and K: 100 kg/ha. Top: N: 90 kg/ha 
"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                                   ,                                           ,         ,         ,5.5-7.0                              ,5.5   ,7     ,                                  ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Mint        ,                                                  ,        ,        ,                    ,20       ,40       ,10-12 irrigations should be given in summer and another 5-6 irrigations should be given for autumn crop.                                                                                                                                                                                                ,"Apply NPK 50:75:50 kg/ha as basal. At four months after planting, N 25 kg/ha is applied."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                                   ,                                           ,         ,         ,6.5-8.0                              ,6.5   ,8     ,                                  ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Jasmine     ,                                                  ,80      ,100     ,                    ,15       ,22       ,First irrigation should be given immediately after plantation of jasmine and next water supply should be given at an interval of 5-10 days.                                                                                                                                                             ,FYM 10 kg and NPK at 60:120:120 g per plant is applied twice once after pruning and again during June - July.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                   ,                                           ,         ,         ,6.5-7.5                              ,6.5   ,7.5   ,80-100                            ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Mari Gold   ,                                                  ,        ,        ,                    ,18       ,20       ,Irrigation is recommended on 3rd or 4th day after planting.                                                                                                                                                                                                                                             ,"During last ploughing, incorporate 25t/ha of FYM. Apply 45:90:75 kg NPK/ha as basal and 45 kg N/ha as top dressing 45 days after planting."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                   ,                                           ,         ,         ,7.0-7.5                              ,7     ,7.5   ,                                  ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Tuberose    ,                                                  ,        ,        ,                    ,20       ,30       ,"Normally,during summertime,it should be irrigated at weekly intervals and during winters in 10 days intervals."                                                                                                                                                                                        ,"FYM or compost 10 kg, NPK at 60, 120 and 120 g per plant is applied in 2 split doses"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                                   ,                                           ,         ,         ,6.5-7.5                              ,6.5   ,7.5   ,                                  ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Raddish     ,                                                  ,        ,        ,                    ,26       ,30       ,Irrigate daily for the first 4-5days;then every 3-4 days depending on rainfall.                                                                                                                                                                                                                         ,"Apply FYM at 25 t/ha and 25 kg N, 100 kg P and 50 kg K/ha as basal dressing and 25 kg N/ha after 30 days."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,                                                                                                                                                                                                                                                                   ,                                           ,         ,         ,                                     ,6     ,7     ,                                  ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Potato      ,                                                  ,120     ,200     ,                    ,18       ,20       ,"Use drip irrigation.Keep your potato vines well watered throughout the summer,especially during the period when the plants are flowering and immediately following the flowering stage."                                                                                                               ,"Apply 15 t/ha of FYM and 2 kg each of Azospirillum and Phosphobacterium as basal and 120 kg N, 240 kg P and 120 kg K/ha in two splits; half as basal and the balance for top dressing on 30 days after sowing. Apply Magnesium sulphate at 60 kg/ha as basal dose."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                                   ,                                           ,         ,         ,                                     ,4.8   ,5.5   ,                                  ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Lemon       ,                                                  ,35      ,120     ,                    ,22       ,24       ,Lime requires life saving watering in the first year during winter and summer.                                                                                                                                                                                                                          ,"FYM: 30 kg N: 400 g, P: 200 g and K: 300 g/tree twice in a year"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                   ,                                           ,         ,         ,                                     ,5.5   ,6.5   ,                                  ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
